00270,06/09/2009,"1-2"" BROWN & SHARPE BLADE M","1-2"" MICROMETER",365,06/01/2024,67,06/02/2023,
00272,06/08/2016,M10X1.5-6H GO/NO GO THD. GAGE,THREAD PLUG GAGE,365,06/04/2024,70,06/05/2023,
00279,08/22/2018,"2.8""-3.2"" BORE MICROMETER, MITUTOYO",BORE MICROMETER,365,11/08/2024,227,11/09/2023,
00288,11/04/2015,.49999 CALIBRATION PLAIN RING GAGE I,PLAIN RING GAGE,365,12/27/2024,276,12/28/2023,
00296,05/06/2015,M27 X 2-6H GO / NO GO THREAD GAGE,THREAD PLUG GAGE,365,04/30/2024,35,05/01/2023,
00297,06/26/2018,"0-1"" MITUTOYO BLADE MICROMETER",BLADE MICROMETER,365,06/30/2023,270 - Late,06/30/2022,
00299,05/27/2019,M4 X 0.7 6H GO / NO GO THREAD PLUG G,THREAD PLUG GAGE,365,04/30/2024,35,05/01/2023,
00300,08/29/2019,"2"" - 2.5"" BORE MICROMETER","2""-2.5"" BORE MICROME",365,09/06/2024,164,09/07/2023,
00308,03/12/2019,15-0-15 MITUTOYO TEST INDICATOR (,TEST INDICATOR,365,05/03/2024,38,05/04/2023,
00309,11/22/2018,"1.6""-2.0"" BORE MICROMETER, SPI",BORE MICROMETER,365,11/09/2023,138 - Late,11/09/2022,
00310,07/08/2019,1/16-27 NPSF GO / NO GO THREAD GAGE,THREAD PLUG GAGE,365,10/01/2024,189,10/02/2023,
00315,07/18/2019,1/2-13 UNC 2B GO / NO GO PLUG GAGE,THREAD PLUG GAGE,365,10/01/2024,189,10/02/2023,
00316,08/21/2012,.7 - 1.4 MITUTOYO BORE INDICATOR,BORE INDICATOR,365,03/01/2025,340,03/01/2024,
00317,04/04/2016,#3-48 UNC-2B THREAD PLUG GAGE,THREAD PLUG GAGE,365,02/01/2025,312,02/02/2024,
00323,09/19/2019,"M6 X 1.0 6H ""SPECIAL"" (+.003"" OVERSIZE)",THREAD PLUG GAGE,365,10/02/2024,190,10/03/2023,
